Date,Event Link,Event,Location,Venue,Attendance
2022-07-09,http://ufcstats.com/event-details/31da66df48c0c1a0,UFC Fight Night: Dos Anjos vs. Fiziev,"Las Vegas, Nevada, USA",UFC Apex,
2022-07-02,http://ufcstats.com/event-details/4a9e305633f3ef47,UFC 276: Adesanya vs. Cannonier,"Las Vegas, Nevada, USA",T-Mobile Arena,19649
2022-06-25,http://ufcstats.com/event-details/eb42d4febfafefd1,UFC Fight Night: Tsarukyan vs. Gamrot,"Las Vegas, Nevada, USA",UFC Apex,
2022-06-18,http://ufcstats.com/event-details/a0a680fe2f6cc8e6,UFC Fight Night: Kattar vs. Emmett,"Austin, Texas, USA",Moody Center,13689
2022-06-11,http://ufcstats.com/event-details/3a24769a4855040a,UFC 275: Teixeira vs. Prochazka,"Kallang, Singapore",Singapore Indoor Stadium,10787
2022-06-04,http://ufcstats.com/event-details/57591bbf1623574e,UFC Fight Night: Volkov vs. Rozenstruik,"Las Vegas, Nevada, USA",UFC Apex,
2022-05-21,http://ufcstats.com/event-details/a6c32678efd4f434,UFC Fight Night: Holm vs. Vieira,"Las Vegas, Nevada, USA",UFC Apex,
2022-05-14,http://ufcstats.com/event-details/60ba33c3f555a7a3,UFC Fight Night: Blachowicz vs. Rakic,"Las Vegas, Nevada, USA",UFC Apex,
2022-05-07,http://ufcstats.com/event-details/253d3f9e97ca149a,UFC 274: Oliveira vs. Gaethje,"Phoenix, Arizona, USA",Footprint Center,17232
2022-04-30,http://ufcstats.com/event-details/6bf5a7d3e081ade2,UFC Fight Night: Font vs. Vera,"Las Vegas, Nevada, USA",UFC Apex,
2022-04-23,http://ufcstats.com/event-details/236a37d96d476164,UFC Fight Night: Lemos vs. Andrade,"Las Vegas, Nevada, USA",UFC Apex,
2022-04-16,http://ufcstats.com/event-details/8753e125f4499816,UFC Fight Night: Luque vs. Muhammad,"Las Vegas, Nevada, USA",UFC Apex,
2022-04-09,http://ufcstats.com/event-details/3a97fda0de6f1fa4,UFC 273: Volkanovski vs. The Korean Zombie,"Jacksonville, Florida, USA",VyStar Veterans Memorial Arena,14605
2022-03-26,http://ufcstats.com/event-details/1fac46d466abd5b8,UFC Fight Night: Blaydes vs. Daukaus,"Columbus, Ohio, USA",Nationwide Arena,18630
2022-03-19,http://ufcstats.com/event-details/1d00756835ca67c9,UFC Fight Night: Volkov vs. Aspinall,"London, England, United Kingdom",The O2 Arena,17081
2022-03-12,http://ufcstats.com/event-details/1f9344211ca7fd60,UFC Fight Night: Santos vs. Ankalaev,"Las Vegas, Nevada, USA",UFC Apex,
2022-03-05,http://ufcstats.com/event-details/75e0d3cc2262b732,UFC 272: Covington vs. Masvidal,"Las Vegas, Nevada, USA",T-Mobile Arena,19425
2022-02-26,http://ufcstats.com/event-details/f6a7b02c42e9fc5b,UFC Fight Night: Makhachev vs. Green,"Las Vegas, Nevada, USA",UFC Apex,
2022-02-19,http://ufcstats.com/event-details/77940e45bc86208e,UFC Fight Night: Walker vs. Hill,"Las Vegas, Nevada, USA",UFC Apex,
2022-02-12,http://ufcstats.com/event-details/cbb682f5fcc44bfc,UFC 271: Adesanya vs. Whittaker 2,"Houston, Texas, USA",Toyota Center,17872
2022-02-05,http://ufcstats.com/event-details/883922e5cd6d8473,UFC Fight Night: Hermansson vs. Strickland,"Las Vegas, Nevada, USA",UFC Apex,
2022-01-22,http://ufcstats.com/event-details/335ad945324c3a2e,UFC 270: Ngannou vs. Gane,"Anaheim, California, USA",Honda Center,17387
2022-01-15,http://ufcstats.com/event-details/f5585e675af7afd4,UFC Fight Night: Kattar vs. Chikadze,"Las Vegas, Nevada, USA",UFC Apex,
2021-12-18,http://ufcstats.com/event-details/2a470ad41c22c25a,UFC Fight Night: Lewis vs. Daukaus,"Las Vegas, Nevada, USA",UFC Apex,
2021-12-11,http://ufcstats.com/event-details/ef927e4fe2117ab8,UFC 269: Oliveira vs. Poirier,"Las Vegas, Nevada, USA",T-Mobile Arena,18471
2021-12-04,http://ufcstats.com/event-details/509697e08673d2e5,UFC Fight Night: Font vs. Aldo,"Las Vegas, Nevada, USA",UFC Apex,
2021-11-20,http://ufcstats.com/event-details/c95fbc085e17a532,UFC Fight Night: Vieira vs. Tate,"Las Vegas, Nevada, USA",UFC Apex,
2021-11-13,http://ufcstats.com/event-details/b5abaa65f87938eb,UFC Fight Night: Holloway vs. Rodriguez,"Las Vegas, Nevada, USA",UFC Apex,
2021-11-06,http://ufcstats.com/event-details/48e093ea1f43a053,UFC 268: Usman vs. Covington 2,"New York City, New York, USA",Madison Square Garden,20715
2021-10-30,http://ufcstats.com/event-details/3974fa35c917af1d,UFC 267: Blachowicz vs. Teixeira,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,10171
2021-10-23,http://ufcstats.com/event-details/8a9c6c4301f6d088,UFC Fight Night: Costa vs. Vettori,"Las Vegas, Nevada, USA",UFC Apex,
2021-10-16,http://ufcstats.com/event-details/8f4616698508f24d,UFC Fight Night: Ladd vs. Dumont,"Las Vegas, Nevada, USA",UFC Apex,
2021-10-09,http://ufcstats.com/event-details/d247691a6c0e9034,UFC Fight Night: Dern vs. Rodriguez,"Las Vegas, Nevada, USA",UFC Apex,
2021-10-02,http://ufcstats.com/event-details/e15d0a2519d6a0b5,UFC Fight Night: Santos vs. Walker,"Las Vegas, Nevada, USA",UFC Apex,
2021-09-25,http://ufcstats.com/event-details/0eec866a077889f0,UFC 266: Volkanovski vs. Ortega,"Las Vegas, Nevada, USA",T-Mobile Arena,19029
2021-09-18,http://ufcstats.com/event-details/4c27ca8c8481f79a,UFC Fight Night: Smith vs. Spann,"Las Vegas, Nevada, USA",UFC Apex,
2021-09-04,http://ufcstats.com/event-details/b9532d815060de7f,UFC Fight Night: Brunson vs. Till,"Las Vegas, Nevada, USA",UFC Apex,
2021-08-28,http://ufcstats.com/event-details/0db9d2486d564a3c,UFC Fight Night: Barboza vs. Chikadze,"Las Vegas, Nevada, USA",UFC Apex,
2021-08-21,http://ufcstats.com/event-details/2f13e4020cea5b38,UFC Fight Night: Cannonier vs. Gastelum,"Las Vegas, Nevada, USA",UFC Apex,
2021-08-07,http://ufcstats.com/event-details/972197a8c61ac413,UFC 265: Lewis vs. Gane,"Houston, Texas, USA",Toyota Center,16604
2021-07-31,http://ufcstats.com/event-details/320edfb0332b7073,UFC Fight Night: Hall vs. Strickland,"Las Vegas, Nevada, USA",UFC Apex,
2021-07-24,http://ufcstats.com/event-details/e57f0b06ea39e360,UFC Fight Night: Sandhagen vs. Dillashaw,"Las Vegas, Nevada, USA",UFC Apex,51
2021-07-17,http://ufcstats.com/event-details/40389d39a92f5bfa,UFC Fight Night: Makhachev vs. Moises,"Las Vegas, Nevada, USA",UFC Apex,0
2021-07-10,http://ufcstats.com/event-details/8a0be41c0380188d,UFC 264: Poirier vs. McGregor 3,"Las Vegas, Nevada, USA",T-Mobile Arena,20062
2021-06-26,http://ufcstats.com/event-details/a1d6b308781aa2f5,UFC Fight Night: Gane vs. Volkov,"Las Vegas, Nevada, USA",UFC Apex,0
2021-06-19,http://ufcstats.com/event-details/9ddfb3369a3b0394,UFC Fight Night: Jung vs. Ige,"Las Vegas, Nevada, USA",UFC Apex,0
2021-06-12,http://ufcstats.com/event-details/0b64d0fed453ef7f,UFC 263: Adesanya vs. Vettori 2,"Glendale, Arizona, USA",Gila River Arena,17208
2021-06-05,http://ufcstats.com/event-details/3b2485c8d5c8b580,UFC Fight Night: Rozenstruik vs. Sakai,"Las Vegas, Nevada, USA",UFC Apex,0
2021-05-22,http://ufcstats.com/event-details/277ffed20cf07aea,UFC Fight Night: Font vs. Garbrandt,"Las Vegas, Nevada, USA",UFC Apex,0
2021-05-15,http://ufcstats.com/event-details/744f50016c39c26c,UFC 262: Oliveira vs. Chandler,"Houston, Texas, USA",Toyota Center,16005
2021-05-08,http://ufcstats.com/event-details/58a36b4ccf5dc30e,UFC Fight Night: Rodriguez vs. Waterson,"Las Vegas, Nevada, USA",UFC Apex,0
2021-05-01,http://ufcstats.com/event-details/d57e6a8971b6d2bd,UFC Fight Night: Reyes vs. Prochazka,"Las Vegas, Nevada, USA",UFC Apex,0
2021-04-24,http://ufcstats.com/event-details/27541033b97c076d,UFC 261: Usman vs. Masvidal 2,"Jacksonville, Florida, USA",VyStar Veterans Memorial Arena,15269
2021-04-17,http://ufcstats.com/event-details/4a35913bd9aa4161,UFC Fight Night: Whittaker vs. Gastelum,"Las Vegas, Nevada, USA",UFC Apex,0
2021-04-10,http://ufcstats.com/event-details/9114c8ded5ccd71d,UFC Fight Night: Vettori vs. Holland,"Las Vegas, Nevada, USA",UFC Apex,0
2021-03-27,http://ufcstats.com/event-details/6597b611f1c32555,UFC 260: Miocic vs. Ngannou,"Las Vegas, Nevada, USA",UFC Apex,0
2021-03-20,http://ufcstats.com/event-details/c36e1f4fa755ffb4,UFC Fight Night: Brunson vs. Holland,"Las Vegas, Nevada, USA",UFC Apex,0
2021-03-13,http://ufcstats.com/event-details/8c90c1563972e44d,UFC Fight Night: Edwards vs. Muhammad,"Las Vegas, Nevada, USA",UFC Apex,0
2021-03-06,http://ufcstats.com/event-details/6e2b1d631832921d,UFC 259: Blachowicz vs. Adesanya,"Las Vegas, Nevada, USA",UFC Apex,0
2021-02-27,http://ufcstats.com/event-details/81b57acd6975ac06,UFC Fight Night: Rozenstruik vs. Gane,"Las Vegas, Nevada, USA",UFC Apex,0
2021-02-20,http://ufcstats.com/event-details/bfe95ec546692b13,UFC Fight Night: Blaydes vs. Lewis,"Las Vegas, Nevada, USA",UFC Apex,0
2021-02-13,http://ufcstats.com/event-details/3f7c14c7eca7195d,UFC 258: Usman vs. Burns,"Las Vegas, Nevada, USA",UFC Apex,0
2021-02-06,http://ufcstats.com/event-details/a1153013cb5f628f,UFC Fight Night: Overeem vs. Volkov,"Las Vegas, Nevada, USA",UFC Apex,0
2021-01-23,http://ufcstats.com/event-details/4304992c2acc187b,UFC 257: Poirier vs. McGregor,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,2600
2021-01-20,http://ufcstats.com/event-details/56116537d71a578c,UFC Fight Night: Chiesa vs. Magny,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,2000
2021-01-16,http://ufcstats.com/event-details/307064d3e0f036c2,UFC Fight Night: Holloway vs. Kattar,"Abu Dhabi, Abu Dhabi, United Arab Emirates",Etihad Arena,2000
2020-12-19,http://ufcstats.com/event-details/e49c2db95e572dc8,UFC Fight Night: Thompson vs. Neal,"Las Vegas, Nevada, USA",UFC Apex,0
2020-12-12,http://ufcstats.com/event-details/d0d43cb9b14f231c,UFC 256: Figueiredo vs. Moreno,"Las Vegas, Nevada, USA",UFC Apex,0
2020-12-05,http://ufcstats.com/event-details/398b440e73d55b8b,UFC Fight Night: Hermansson vs. Vettori,"Las Vegas, Nevada, USA",UFC Apex,0
2020-11-28,http://ufcstats.com/event-details/992c82450d96f726,UFC Fight Night: Smith vs. Clark,"Las Vegas, Nevada, USA",UFC Apex,0
2020-11-21,http://ufcstats.com/event-details/bbb15f301e4a490a,UFC 255: Figueiredo vs. Perez,"Las Vegas, Nevada, USA",UFC Apex,0
2020-11-14,http://ufcstats.com/event-details/3bc27ec15facbcf3,UFC Fight Night: Felder vs. Dos Anjos,"Las Vegas, Nevada, USA",UFC Apex,0
2020-11-07,http://ufcstats.com/event-details/41dca66f9dadfc86,UFC Fight Night: Santos vs. Teixeira,"Las Vegas, Nevada, USA",UFC Apex,0
2020-10-31,http://ufcstats.com/event-details/ad044be25c94dcfd,UFC Fight Night: Hall vs. Silva,"Las Vegas, Nevada, USA",UFC Apex,0
2020-10-24,http://ufcstats.com/event-details/c3c38c86f5ab9b5c,UFC 254: Khabib vs. Gaethje,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-10-17,http://ufcstats.com/event-details/d4f364dd076bb0e2,UFC Fight Night: Ortega vs. The Korean Zombie,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-10-10,http://ufcstats.com/event-details/fd4578cac86d75ca,UFC Fight Night: Moraes vs. Sandhagen,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-10-03,http://ufcstats.com/event-details/805ad1801eb26abb,UFC Fight Night: Holm vs. Aldana,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-09-26,http://ufcstats.com/event-details/e69c5ce12f4e762b,UFC 253: Adesanya vs. Costa,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-09-19,http://ufcstats.com/event-details/831b937811804dad,UFC Fight Night: Covington vs. Woodley,"Las Vegas, Nevada, USA",UFC Apex,0
2020-09-12,http://ufcstats.com/event-details/9c37681096c6f3a9,UFC Fight Night: Waterson vs. Hill,"Las Vegas, Nevada, USA",UFC Apex,0
2020-09-05,http://ufcstats.com/event-details/542db012217ecb83,UFC Fight Night: Overeem vs. Sakai,"Las Vegas, Nevada, USA",UFC Apex,0
2020-08-29,http://ufcstats.com/event-details/e29cf523ebd155c5,UFC Fight Night: Smith vs. Rakic,"Las Vegas, Nevada, USA",UFC Apex,0
2020-08-22,http://ufcstats.com/event-details/af1e5c64b8663aa0,UFC Fight Night: Munhoz vs. Edgar,"Las Vegas, Nevada, USA",UFC Apex,0
2020-08-15,http://ufcstats.com/event-details/bda04c573563cc2e,UFC 252: Miocic vs. Cormier 3,"Las Vegas, Nevada, USA",UFC Apex,0
2020-08-08,http://ufcstats.com/event-details/7a82635ffa9b59fe,UFC Fight Night: Lewis vs. Oleinik,"Las Vegas, Nevada, USA",UFC Apex,0
2020-08-01,http://ufcstats.com/event-details/3746e21bb508391a,UFC Fight Night: Brunson vs. Shahbazyan,"Las Vegas, Nevada, USA",UFC Apex,0
2020-07-25,http://ufcstats.com/event-details/dde70a112e053a6c,UFC Fight Night: Whittaker vs. Till,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-07-18,http://ufcstats.com/event-details/ddbd0d6259ce57cc,UFC Fight Night: Figueiredo vs. Benavidez 2,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-07-15,http://ufcstats.com/event-details/18f5669a92e99d92,UFC Fight Night: Kattar vs. Ige,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-07-11,http://ufcstats.com/event-details/dbd198f780286aca,UFC 251: Usman vs. Masvidal,"Abu Dhabi, Abu Dhabi, United Arab Emirates",du Forum,0
2020-06-27,http://ufcstats.com/event-details/c32eab6c2119e989,UFC Fight Night: Poirier vs. Hooker,"Las Vegas, Nevada, USA",UFC Apex,0
2020-06-20,http://ufcstats.com/event-details/2eab7a6c8b0ed8cc,UFC Fight Night: Blaydes vs. Volkov,"Las Vegas, Nevada, USA",UFC Apex,0
2020-06-13,http://ufcstats.com/event-details/1e13936d708bcff7,UFC Fight Night: Eye vs. Calvillo,"Las Vegas, Nevada, USA",UFC Apex,0
2020-06-06,http://ufcstats.com/event-details/4c12aa7ca246e7a4,UFC 250: Nunes vs. Spencer,"Las Vegas, Nevada, USA",UFC Apex,0
2020-05-30,http://ufcstats.com/event-details/14b9e0f2679a2205,UFC Fight Night: Woodley vs. Burns,"Las Vegas, Nevada, USA",UFC Apex,0
2020-05-16,http://ufcstats.com/event-details/dfb965c9824425db,UFC Fight Night: Overeem vs. Harris,"Jacksonville, Florida, USA",VyStar Veterans Memorial Arena,0
2020-05-13,http://ufcstats.com/event-details/5f8e00c27b7e7410,UFC Fight Night: Smith vs. Teixeira,"Jacksonville, Florida, USA",VyStar Veterans Memorial Arena,0
2020-05-09,http://ufcstats.com/event-details/898337ef520fe4d3,UFC 249: Ferguson vs. Gaethje,"Jacksonville, Florida, USA",VyStar Veterans Memorial Arena,0
2020-03-14,http://ufcstats.com/event-details/53278852bcd91e11,UFC Fight Night: Lee vs. Oliveira,"Brasilia, Distrito Federal, Brazil",Ginásio Nilson Nelson,0
2020-03-07,http://ufcstats.com/event-details/0b5b6876c2a4723f,UFC 248: Adesanya vs. Romero,"Las Vegas, Nevada, USA",T-Mobile Arena,15077
2020-02-29,http://ufcstats.com/event-details/fc9a9559a05f2704,UFC Fight Night: Benavidez vs. Figueiredo,"Norfolk, Virginia, USA",Chartway Arena,7098
2020-02-22,http://ufcstats.com/event-details/33b2f68ef95252e0,UFC Fight Night: Felder vs. Hooker,"Auckland, New Zealand",Spark Arena,10025
2020-02-15,http://ufcstats.com/event-details/5df17b3620145578,UFC Fight Night: Anderson vs. Blachowicz,"Rio Rancho, New Mexico, USA",Santa Ana Star Center,6449
2020-02-08,http://ufcstats.com/event-details/b26d3e3746fb4024,UFC 247: Jones vs. Reyes,"Houston, Texas, USA",Toyota Center,17401
2020-01-25,http://ufcstats.com/event-details/44aa652b181bcf68,UFC Fight Night: Blaydes vs. Dos Santos,"Raleigh, North Carolina, USA",PNC Arena,14533
2020-01-18,http://ufcstats.com/event-details/0c1773639c795466,UFC 246: McGregor vs. Cowboy,"Las Vegas, Nevada, USA",T-Mobile Arena,19040
2019-12-21,http://ufcstats.com/event-details/74fefd43f073cd2f,UFC Fight Night: Edgar vs. The Korean Zombie,"Busan, South Korea",Sajik Arena,10651
2019-12-14,http://ufcstats.com/event-details/4565d435005319c0,UFC 245: Usman vs. Covington,"Las Vegas, Nevada, USA",T-Mobile Arena,16811
2019-12-07,http://ufcstats.com/event-details/b09890ba7ce1d1e2,UFC Fight Night: Overeem vs. Rozenstruik,"Washington, DC, USA",Capital One Arena,10816
2019-11-16,http://ufcstats.com/event-details/81ca2c245b19b3c5,UFC Fight Night: Blachowicz vs. Jacare,"Sao Paulo, Sao Paulo, Brazil",Ginásio do Ibirapuera,10344
2019-11-09,http://ufcstats.com/event-details/8d5daf67983b65ba,UFC Fight Night: Zabit vs. Kattar,"Moscow, Moscow, Russia",CSKA Arena,11305
2019-11-02,http://ufcstats.com/event-details/fd87b1bbfcde9d5e,UFC 244: Masvidal vs. Diaz,"New York City, New York, USA",Madison Square Garden,20143
2019-10-26,http://ufcstats.com/event-details/df05aa15b2d66f57,UFC Fight Night: Maia vs. Askren,"Kallang, Singapore",Singapore Indoor Stadium,7155
2019-10-18,http://ufcstats.com/event-details/3ae10ac4df3df05c,UFC Fight Night: Reyes vs. Weidman,"Boston, Massachusetts, USA",TD Garden,12066
2019-10-12,http://ufcstats.com/event-details/0941df56f6ac954b,UFC Fight Night: Joanna vs. Waterson,"Tampa, Florida, USA",Amalie Arena,10597
2019-10-05,http://ufcstats.com/event-details/3cf68c1d17f66af7,UFC 243: Whittaker vs. Adesanya,"Melbourne, Victoria, Australia",Marvel Stadium,57127
2019-09-28,http://ufcstats.com/event-details/1bf49bf829964144,UFC Fight Night: Hermansson vs. Cannonier,"Copenhagen, Denmark",Royal Arena,12767
2019-09-21,http://ufcstats.com/event-details/94a5aaf573f780ad,UFC Fight Night: Rodriguez vs. Stephens,"Mexico City, Distrito Federal, Mexico",Arena Ciudad de México,10112
2019-09-14,http://ufcstats.com/event-details/4834ff149dc9542a,UFC Fight Night: Cowboy vs. Gaethje,"Vancouver, British Columbia, Canada",Rogers Arena,15114
2019-09-07,http://ufcstats.com/event-details/a79bfbc01b2264d6,UFC 242: Khabib vs. Poirier,"Abu Dhabi, Abu Dhabi, United Arab Emirates","The Arena, Yas Island",
2019-08-31,http://ufcstats.com/event-details/2c104b7e59a72629,UFC Fight Night: Andrade vs. Zhang,"Shenzhen, Guangdong, China",Shenzhen Universiade Sports Centre,10302
2019-08-17,http://ufcstats.com/event-details/70167689d6a01793,UFC 241: Cormier vs. Miocic 2,"Anaheim, California, USA",Honda Center,17304
2019-08-10,http://ufcstats.com/event-details/e5d03e4d966126bd,UFC Fight Night: Shevchenko vs. Carmouche 2,"Montevideo, Uruguay",Antel Arena,9225
2019-08-03,http://ufcstats.com/event-details/03da33a102d9a45f,UFC Fight Night: Covington vs. Lawler,"Newark, New Jersey, USA",Prudential Center,10427
2019-07-27,http://ufcstats.com/event-details/abcf7e55a0a9ed89,UFC 240: Holloway vs. Edgar,"Edmonton, Alberta, Canada",Rogers Place,12144
2019-07-20,http://ufcstats.com/event-details/9e0f28d1f639ad73,UFC Fight Night: Dos Anjos vs. Edwards,"San Antonio, Texas, USA",AT&T Center,9255
2019-07-13,http://ufcstats.com/event-details/2f8f3c69522db931,UFC Fight Night: De Randamie vs. Ladd,"Sacramento, California, USA",Golden 1 Center,10306
2019-07-06,http://ufcstats.com/event-details/6c9383ffab2725a5,UFC 239: Jones vs. Santos,"Las Vegas, Nevada, USA",T-Mobile Arena,18358
2019-06-29,http://ufcstats.com/event-details/c0c1bc0766df4c00,UFC Fight Night: Ngannou vs. Dos Santos,"Minneapolis, Minnesota, USA",Target Center,10123
2019-06-22,http://ufcstats.com/event-details/b16a7e6a627e9789,UFC Fight Night: Moicano vs. The Korean Zombie,"Greenville, South Carolina, USA",Bon Secours Wellness Arena,7682
2019-06-08,http://ufcstats.com/event-details/e31502e3f79d00c5,UFC 238: Cejudo vs. Moraes,"Chicago, Illinois, USA",United Center,16083
2019-06-01,http://ufcstats.com/event-details/cbc071cb20ea59c7,UFC Fight Night: Gustafsson vs. Smith,"Stockholm, Sweden",Avicii Arena,14319
2019-05-18,http://ufcstats.com/event-details/6b8f28da9a483049,UFC Fight Night: Dos Anjos vs. Lee,"Rochester, New York, USA",Blue Cross Arena,8132
2019-05-11,http://ufcstats.com/event-details/9de7c97e1c0d7927,UFC 237: Namajunas vs. Andrade,"Rio de Janeiro, Rio de Janeiro, Brazil",Jeunesse Arena,15193
2019-05-04,http://ufcstats.com/event-details/351264d11286d09a,UFC Fight Night: Iaquinta vs. Cowboy,"Ottawa, Ontario, Canada",Canadian Tire Centre,10960
2019-04-27,http://ufcstats.com/event-details/c912f676692c353a,UFC Fight Night: Jacare vs. Hermansson,"Sunrise, Florida, USA",Amerat Bank Arena,12754
2019-04-20,http://ufcstats.com/event-details/7dcf06c1967801c1,UFC Fight Night: Overeem vs. Oleinik,"Saint Petersburg, Saint Petersburg, Russia",Yubileyny Sports Palace,7236
2019-04-13,http://ufcstats.com/event-details/b0550072e5f0afa7,UFC 236: Holloway vs. Poirier 2,"Atlanta, Georgia, USA",State Farm Arena,14297
2019-03-30,http://ufcstats.com/event-details/9649d75defe0dedb,UFC Fight Night: Barboza vs. Gaethje,"Philadelphia, Pennsylvania, USA",Wells Fargo Center,11123
2019-03-23,http://ufcstats.com/event-details/487c170da059857d,UFC Fight Night: Thompson vs. Pettis,"Nashville, Tennessee, USA",Bridgestone Arena,10863
2019-03-16,http://ufcstats.com/event-details/80eacd4da0617c57,UFC Fight Night: Till vs. Masvidal,"London, England, United Kingdom",The O2 Arena,16602
2019-03-09,http://ufcstats.com/event-details/e96d8538d3f9d0ed,UFC Fight Night: Lewis vs. Dos Santos,"Wichita, Kansas, USA",Intrust Bank Arena,7265
2019-03-02,http://ufcstats.com/event-details/2d5fbe2103f97053,UFC 235: Jones vs. Smith,"Las Vegas, Nevada, USA",T-Mobile Arena,14790
2019-02-23,http://ufcstats.com/event-details/6546af7ab545b90c,UFC Fight Night: Blachowicz vs. Santos,"Prague, Czech Republic",O2 Arena,16583
2019-02-17,http://ufcstats.com/event-details/a7a79b8efbceaaac,UFC Fight Night: Ngannou vs. Velasquez,"Phoenix, Arizona, USA",Talking Stick Resort Arena,14269
2019-02-09,http://ufcstats.com/event-details/b5882371e2a3900d,UFC 234: Adesanya vs. Silva,"Melbourne, Victoria, Australia",Rod Laver Arena,15238
2019-02-02,http://ufcstats.com/event-details/84283233ec42be5f,UFC Fight Night: Assuncao vs. Moraes 2,"Fortaleza, Ceara, Brazil",Centro de Formação Olímpica do Nordeste,10040
2019-01-19,http://ufcstats.com/event-details/d4da8995fc91e7ef,UFC Fight Night: Cejudo vs. Dillashaw,"Brooklyn, New York, USA",Barclays Center,12152
2018-12-29,http://ufcstats.com/event-details/c046100aea0dba9a,UFC 232: Jones vs. Gustafsson 2,"Los Angeles, California, USA",The Forum,15862
2018-12-15,http://ufcstats.com/event-details/7a703c565ccaa18f,UFC Fight Night: Lee vs. Iaquinta,"Milwaukee, Wisconsin, USA",Fiserv Forum,9010
2018-12-08,http://ufcstats.com/event-details/2a74bbba57058f12,UFC 231: Holloway vs. Ortega,"Toronto, Ontario, Canada",Scotiabank Arena,19039
2018-12-01,http://ufcstats.com/event-details/d1d20e651e6cbc02,UFC Fight Night: Dos Santos vs. Tuivasa,"Adelaide, South Australia, Australia",Adelaide Entertainment Centre,8652
2018-11-30,http://ufcstats.com/event-details/c7ac79839e86ce33,The Ultimate Fighter: Heavy Hitters Finale,"Las Vegas, Nevada, USA",Pearl Theatre,2020
2018-11-24,http://ufcstats.com/event-details/de25520d54eab12d,UFC Fight Night: Blaydes vs. Ngannou 2,"Beijing, China",Cadillac Arena,10302
2018-11-17,http://ufcstats.com/event-details/aa3153a9941b4d44,UFC Fight Night: Magny vs. Ponzinibbio,"Buenos Aires, Buenos Aires, Argentina",Estadio Mary Terán de Weiss,10245
2018-11-10,http://ufcstats.com/event-details/42c96a9c4802e2e1,UFC Fight Night: Korean Zombie vs. Rodriguez,"Denver, Colorado, USA",Pepsi Center,11426
2018-11-03,http://ufcstats.com/event-details/20821819c401ced8,UFC 230: Cormier vs. Lewis,"New York City, New York, USA",Madison Square Garden,17011
2018-10-27,http://ufcstats.com/event-details/33a331684283900f,UFC Fight Night: Oezdemir vs. Smith,"Moncton, New Brunswick, Canada",Avenir Centre,6282
2018-10-06,http://ufcstats.com/event-details/1ef0eae31904e534,UFC 229: Khabib vs. McGregor,"Las Vegas, Nevada, USA",T-Mobile Arena,20034
2018-09-22,http://ufcstats.com/event-details/852454c572675334,UFC Fight Night: Marreta vs. Anders,"Sao Paulo, Sao Paulo, Brazil",Ginásio do Ibirapuera,9485
2018-09-15,http://ufcstats.com/event-details/8d49545dadf9b919,UFC Fight Night: Hunt vs. Oleinik,"Moscow, Moscow, Russia",Olimpiyskiy Stadium,22603
2018-09-08,http://ufcstats.com/event-details/d5ae8074631762fc,UFC 228: Woodley vs. Till,"Dallas, Texas, USA",American Airlines Center,14073
2018-08-25,http://ufcstats.com/event-details/c0342805a1948cbb,UFC Fight Night: Gaethje vs. Vick,"Lincoln, Nebraska, USA",Pinnacle Bank Arena,6409
2018-08-04,http://ufcstats.com/event-details/03b1e846b09f721d,UFC 227: Dillashaw vs. Garbrandt 2,"Los Angeles, California, USA",Staples Center,17794
2018-07-28,http://ufcstats.com/event-details/322a56923b396b4d,UFC Fight Night: Alvarez vs. Poirier 2,"Calgary, Alberta, Canada",Scotiabank Saddledome,10603
2018-07-22,http://ufcstats.com/event-details/4f732e58ed907eff,UFC Fight Night: Shogun vs. Smith,"Hamburg, Hamburg, Germany",Barclaycard Arena,7798
2018-07-14,http://ufcstats.com/event-details/b45d6b73f4ca4467,UFC Fight Night: Dos Santos vs. Ivanov,"Boise, Idaho, USA",CenturyLink Arena,5648
2018-07-07,http://ufcstats.com/event-details/35585d970300d45a,UFC 226: Miocic vs. Cormier,"Las Vegas, Nevada, USA",T-Mobile Arena,17464
2018-07-06,http://ufcstats.com/event-details/8215e4fe24e8e81b,The Ultimate Fighter: Undefeated Finale,"Las Vegas, Nevada, USA",Palms Casino Resort,2123
2018-06-23,http://ufcstats.com/event-details/ac5f67109accb482,UFC Fight Night: Cowboy vs. Edwards,"Kallang, Singapore",Singapore Indoor Stadium,6419
2018-06-09,http://ufcstats.com/event-details/2eae41f61776c60f,UFC 225: Whittaker vs. Romero 2,"Chicago, Illinois, USA",United Center,18117
2018-06-01,http://ufcstats.com/event-details/d29b5c4f22c6357d,UFC Fight Night: Rivera vs. Moraes,"Utica, New York, USA",Adirondack Bank Center,5063
